time,score
5:50 PM,28
6:55 PM,46
8:40 PM,55
10:30 PM,99
10:35 PM,99
10:40 PM,93
10:50 PM,110
1:15 AM,67
1:50 AM,100
2:50 AM,100
3:50 AM,100
4:50 AM,107
5:50 AM,98
7:55 AM,82
8:00 AM,80
8:10 AM,104
8:40 AM,82
8:50 AM,100
9:50 AM,88
10:50 AM,75
11:20 AM,99
11:50 AM,94
12:20 PM,108
12:50 PM,120
1:20 PM,98
1:50 PM,118
2:20 PM,120
