time,score
5:50 PM,59
6:55 PM,60
8:40 PM,55
10:30 PM,68
10:35 PM,68
10:40 PM,63
10:50 PM,69
1:15 AM,64
1:50 AM,63
2:50 AM,63
3:50 AM,63
4:50 AM,50
5:50 AM,60
7:55 AM,69
8:00 AM,68
8:10 AM,63
8:40 AM,68
8:50 AM,60
9:50 AM,68
10:50 AM,54
11:20 AM,59
11:50 AM,59
12:20 PM,52
12:50 PM,59
1:20 PM,51
1:50 PM,46
2:20 PM,56
