time,score
5:50 PM,95
6:55 PM,93
8:40 PM,120
10:30 PM,120
10:35 PM,104
10:40 PM,118
10:50 PM,89
1:15 AM,120
1:50 AM,109
2:50 AM,110
3:50 AM,120
4:50 AM,120
5:50 AM,111
7:55 AM,86
8:00 AM,99
8:40 AM,66
8:50 AM,79
9:50 AM,68
10:50 AM,67
11:20 AM,77
11:50 AM,66
12:20 PM,63
12:50 PM,41
1:20 PM,51
1:50 PM,56
2:20 PM,48
