time,score
5:50 PM,60
6:55 PM,55
8:40 PM,46
10:30 PM,52
10:35 PM,52
10:40 PM,42
10:50 PM,59
1:15 AM,79
1:50 AM,74
2:50 AM,74
3:50 AM,74
4:50 AM,73
5:50 AM,64
7:55 AM,41
8:00 AM,38
8:40 AM,35
8:50 AM,44
9:50 AM,33
10:50 AM,45
11:20 AM,47
11:50 AM,51
12:20 PM,55
12:50 PM,50
1:20 PM,76
1:50 PM,55
2:20 PM,50
